Date,Real_Close,Single_Layer_Predicted,Dual_Layer_Predicted,Single_Layer_Error,Dual_Layer_Error
2017-10-04,2537.73999,2506.293,2437.8833,31.447021250000034,99.85669000000007
2017-10-05,2552.070068,2513.65,2442.8372,38.42016565624999,109.23286800000005
2017-10-06,2549.330078,2522.2573,2447.7385,27.072753781249958,101.59157800000003
2017-10-09,2544.7299800000005,2527.9443,2453.0417,16.785644062500523,91.6882800000003
2017-10-10,2550.639893,2534.0293,2459.507,16.61059612500003,91.13289299999997
2017-10-11,2555.23999,2534.6943,2462.805,20.545654062500034,92.4349900000002
2017-10-12,2550.9299320000005,2538.6887,2465.158,12.241211296875463,85.77193200000056
2017-10-13,2553.1699220000005,2537.8406,2465.9531,15.329345828125497,87.21682200000032
2017-10-16,2557.639893,2540.4348,2466.3315,17.20507854687503,91.30839300000025
2017-10-17,2559.3601070000004,2540.7898,2469.6042,18.570312078125426,89.7559070000002
2017-10-18,2561.26001,2542.2263,2473.1099,19.033691640624966,88.15011000000004
2017-10-19,2562.100098,2545.3618,2475.2747,16.73828159374989,86.82539799999995
2017-10-20,2575.209961,2544.5176,2477.691,30.69238287500002,97.51896100000022
2017-10-23,2564.97998,2545.9875,2478.729,18.99243117187507,86.25098000000025
2017-10-24,2569.129883,2549.4895,2479.7124,19.640381046875063,89.41748300000017
2017-10-25,2557.1499020000006,2550.9758,2479.4587,6.174071921875566,77.69120200000043
2017-10-26,2560.3999020000006,2542.246,2477.357,18.153808250000566,83.0429020000006
2017-10-27,2581.0700680000004,2543.286,2475.1755,37.78417932812545,105.89456800000062
2017-10-30,2572.830078,2548.676,2474.239,24.154052609374958,98.59107799999992
2017-10-31,2575.2600100000004,2550.9724,2474.5815,24.28759789062542,100.67851000000064
2017-11-01,2579.360107,2549.2688,2476.9016,30.09130817187497,102.45850699999983
2017-11-02,2579.8500980000003,2547.005,2478.0168,32.845215187500344,101.83329800000047
2017-11-03,2587.840088,2546.0557,2477.5884,41.78442393749992,110.25168799999983
2017-11-06,2591.1298830000005,2553.3142,2479.0342,37.81567401562552,112.09568300000046
2017-11-07,2590.6398930000005,2556.7996,2480.941,33.840332453125484,109.69889300000068
2017-11-08,2594.379883,2551.8752,2483.1255,42.50463885937506,111.25438299999996
2017-11-09,2584.6201170000004,2553.6182,2483.7764,31.00195293750039,100.8437170000002
2017-11-10,2582.3000490000004,2551.7776,2483.4988,30.5224611093754,98.80124900000055
2017-11-13,2584.840088,2552.5686,2484.8203,32.27148448437492,100.01978800000006
2017-11-14,2578.870117,2557.0342,2485.468,21.835937312499937,93.40211700000009
2017-11-15,2564.620117,2554.0447,2484.7417,10.575439265624937,79.8784169999999
2017-11-16,2585.6398930000005,2549.9358,2483.6848,35.704101984375484,101.95509300000049
